Node,mean,stdev
621,8.156,0.302
622,8.157,0.303
623,8.158,0.303
624,8.160,0.305
625,8.160,0.305
626,8.161,0.306
627,8.162,0.305
628,8.162,0.305
629,8.163,0.304
630,8.163,0.304
631,8.163,0.304
632,8.164,0.304
633,8.164,0.304
634,8.165,0.304
635,8.166,0.304
636,8.166,0.304
637,8.167,0.304
638,8.166,0.304
639,8.167,0.304
640,8.168,0.304
641,8.168,0.305
642,8.169,0.305
643,8.169,0.305
644,8.170,0.306
645,8.172,0.306
646,8.173,0.306
647,8.174,0.307
648,8.175,0.307
649,8.177,0.306
650,8.177,0.307
651,8.178,0.307
652,8.178,0.307
653,8.178,0.307
654,8.180,0.307
655,8.180,0.307
656,8.179,0.308
657,8.179,0.307
658,8.180,0.307
659,8.180,0.308
660,8.181,0.309
661,8.182,0.309
662,8.183,0.309
663,8.184,0.309
664,8.183,0.310
665,8.184,0.311
666,8.185,0.310
667,8.185,0.311
668,8.187,0.311
669,8.187,0.311
670,8.189,0.312
671,8.187,0.313
672,8.188,0.313
673,8.187,0.313
674,8.187,0.314
675,8.188,0.313
676,8.188,0.312
677,8.189,0.314
678,8.189,0.313
679,8.189,0.313
680,8.189,0.313
681,8.189,0.313
682,8.186,0.311
683,8.188,0.311
684,8.188,0.310
685,8.187,0.309
686,8.188,0.309
687,8.190,0.310
688,8.190,0.309
689,8.191,0.310
690,8.192,0.310
691,8.192,0.310
692,8.193,0.310
693,8.194,0.310
694,8.195,0.310
695,8.196,0.309
696,8.195,0.310
697,8.196,0.310
698,8.196,0.310
699,8.197,0.310
700,8.197,0.310
701,8.197,0.311
702,8.197,0.311
703,8.197,0.312
704,8.198,0.312
705,8.199,0.312
706,8.198,0.313
707,8.199,0.313
708,8.199,0.313
709,8.199,0.313
710,8.199,0.313
711,8.199,0.313
712,8.200,0.314
713,8.200,0.314
714,8.201,0.314
715,8.202,0.315
716,8.203,0.315
717,8.204,0.315
718,8.207,0.317
719,8.208,0.317
720,8.209,0.317
721,8.209,0.317
722,8.210,0.318
723,8.211,0.318
724,8.212,0.318
725,8.214,0.318
726,8.214,0.318
727,8.215,0.318
728,8.216,0.318
729,8.217,0.318
730,8.217,0.318
731,8.217,0.318
732,8.217,0.317
733,8.218,0.318
734,8.218,0.318
735,8.219,0.318
736,8.219,0.318
737,8.219,0.318
738,8.220,0.319
739,8.221,0.319
740,8.221,0.319
741,8.222,0.320
742,8.222,0.320
743,8.222,0.320
744,8.223,0.321
745,8.223,0.321
746,8.224,0.321
747,8.224,0.320
748,8.224,0.320
749,8.226,0.321
750,8.227,0.321
751,8.227,0.321
752,8.227,0.321
753,8.226,0.321
754,8.227,0.321
755,8.227,0.321
756,8.226,0.321
757,8.227,0.320
758,8.226,0.320
759,8.227,0.320
760,8.228,0.320
761,8.227,0.320
762,8.227,0.321
763,8.228,0.321
764,8.228,0.321
765,8.228,0.321
766,8.228,0.321
767,8.228,0.321
768,8.229,0.322
769,8.229,0.321
770,8.229,0.322
771,8.229,0.322
772,8.228,0.322
773,8.228,0.322
774,8.228,0.323
775,8.229,0.323
776,8.229,0.323
777,8.230,0.323
778,8.230,0.324
779,8.230,0.324
780,8.230,0.324
781,8.230,0.324
782,8.230,0.324
783,8.229,0.325
784,8.229,0.326
785,8.228,0.326
786,8.228,0.326
787,8.228,0.326
788,8.229,0.327
789,8.229,0.327
790,8.229,0.328
791,8.228,0.328
792,8.228,0.328
793,8.227,0.328
794,8.227,0.328
795,8.227,0.329
796,8.226,0.330
797,8.226,0.330
798,8.226,0.331
799,8.226,0.330
800,8.225,0.331
801,8.225,0.331
802,8.225,0.332
803,8.225,0.332
804,8.225,0.332
805,8.225,0.333
806,8.225,0.333
807,8.224,0.333
808,8.223,0.333
809,8.223,0.334
810,8.222,0.334
811,8.222,0.334
812,8.222,0.335
813,8.222,0.335
814,8.222,0.335
815,8.222,0.336
816,8.222,0.337
817,8.222,0.337
818,8.221,0.337
819,8.221,0.337
820,8.221,0.337
821,8.222,0.338
822,8.221,0.338
823,8.221,0.338
824,8.221,0.338
825,8.220,0.338
826,8.220,0.338
827,8.220,0.338
828,8.221,0.337
